Function,x1_importance,x2_importance,x3_importance,x4_importance,x5_importance,x6_importance,x7_importance,x8_importance
1,0.65413636,0.3458636,,,,,,
2,0.8812982,0.118701845,,,,,,
3,0.28421324,0.35510075,0.3606860041618347,,,,,
4,0.21226175,0.3332451,0.21708476543426514,0.2374083399772644,,,,
5,0.37093043,0.25304115,0.23673322796821594,0.13929519057273865,,,,
6,0.23173703,0.29210198,0.1789761185646057,0.17538554966449738,0.12179931253194809,,,
7,0.17817734,0.088406384,0.10993066430091858,0.16279008984565735,0.3068208694458008,0.15387459099292755,,
8,0.20435797,0.11043816,0.2917807102203369,0.09515510499477386,0.04532504454255104,0.04394804313778877,0.18478433787822723,0.024210603907704353
