Function,Number_of_Clusters,Best_Cluster,Best_Cluster_Mean_Output,Best_Cluster_Size,Selected_Cluster_Distance,Selected_Boundary_Distance
1,4,2,3.1149282340843297e-48,2,0.45041466129994173,0.29863756857688484
2,4,1,0.38789283952103837,14,0.12707365490935937,0.5636473300439094
3,4,3,-0.07490228573832097,9,0.31026311383470045,0.010890701626464383
4,4,0,-5.086554747142821,15,0.15333807961236318,0.25792761313868795
5,4,0,8182.097647007461,6,0.033225409106341926,0.684590109060574
6,4,0,-0.7458979042299334,13,0.10288884013615186,0.5450028769601161
7,4,1,0.7626329371152645,19,0.3117203522313171,0.25634436454286924
8,4,0,9.546104646551656,8,0.742781853609945,0.14019897881801013
