Function,x1_importance,x2_importance,x3_importance,x4_importance,x5_importance,x6_importance,x7_importance,x8_importance
1,0.58341545,0.4165846,,,,,,
2,0.73734695,0.26265302,,,,,,
3,0.28439993,0.36995673,0.34564340114593506,,,,,
4,0.21477453,0.34541664,0.21361060440540314,0.22619827091693878,,,,
5,0.37773362,0.24642025,0.2366178035736084,0.13922835886478424,,,,
6,0.20314132,0.27640924,0.19854404032230377,0.17479602992534637,0.14710931479930878,,,
7,0.1447458,0.11280464,0.15044522285461426,0.20982567965984344,0.24348729848861694,0.13869138062000275,,
8,0.21245688,0.106005445,0.28741705417633057,0.10687804967164993,0.05043744668364525,0.05036463588476181,0.1685916781425476,0.017848823219537735
