Function,x1_importance,x2_importance,x3_importance,x4_importance,x5_importance,x6_importance,x7_importance,x8_importance
1,0.3436619,0.6563381,,,,,,
2,0.4749296,0.52507037,,,,,,
3,0.24712576,0.36543137,0.38744285702705383,,,,,
4,0.23631778,0.32527167,0.2188621461391449,0.21954838931560516,,,,
5,0.2629803,0.29382917,0.23599392175674438,0.20719657838344574,,,,
6,0.21037441,0.23784389,0.2295905202627182,0.17675180733203888,0.14543941617012024,,,
7,0.09890892,0.14425248,0.129522442817688,0.2064090371131897,0.2767446041107178,0.14416252076625824,,
8,0.21810132,0.11172409,0.297044962644577,0.07952716201543808,0.04194264113903046,0.047219786792993546,0.18523059785366058,0.019209399819374084
