Function,x1_importance,x2_importance,x3_importance,x4_importance,x5_importance,x6_importance,x7_importance,x8_importance
1,0.52611816,0.47388187,,,,,,
2,0.7552105,0.24478944,,,,,,
3,0.2600282,0.34789988,0.392071932554245,,,,,
4,0.21226175,0.3332451,0.21708476543426514,0.2374083399772644,,,,
5,0.3367257,0.25639802,0.2620478570461273,0.14482848346233368,,,,
6,0.19736478,0.28185886,0.19583679735660553,0.15617448091506958,0.16876506805419922,,,
7,0.18633187,0.08546057,0.10519585013389587,0.17672127485275269,0.2933574616909027,0.15293292701244354,,
8,0.20881036,0.105541416,0.299416184425354,0.09584496915340424,0.04197557270526886,0.0460381880402565,0.1851189285516739,0.01725436933338642
