Function,PCA_Components,Explained_Variance_Ratio
1,2,1.0
2,2,1.0
3,2,0.7923901942147178
4,2,0.6609790793656318
5,2,0.7367637827296152
6,2,0.6082768212768567
7,2,0.528605266146015
8,2,0.4372960239053
