Function,x1_importance,x2_importance,x3_importance,x4_importance,x5_importance,x6_importance,x7_importance,x8_importance
1,0.62261003,0.37738994,,,,,,
2,0.5781421,0.4218579,,,,,,
3,0.29741722,0.38487977,0.317702978849411,,,,,
4,0.23255788,0.33259815,0.21544456481933594,0.21939946711063385,,,,
5,0.36260816,0.30188134,0.20277246832847595,0.13273803889751434,,,,
6,0.21688977,0.27946135,0.20186211168766022,0.16520099341869354,0.1365857869386673,,,
7,0.16320923,0.10067019,0.1295928657054901,0.15107041597366333,0.33975887298583984,0.11569850891828537,,
8,0.20225489,0.10427569,0.28753983974456787,0.08834578096866608,0.05924047529697418,0.050944264978170395,0.18192017078399658,0.025478938594460487
