Function,x1_importance,x2_importance,x3_importance,x4_importance,x5_importance,x6_importance,x7_importance,x8_importance
1,0.47118253,0.5288175,,,,,,
2,0.51628155,0.48371843,,,,,,
3,0.31181437,0.34544435,0.3427412509918213,,,,,
4,0.25671038,0.31612837,0.19684220850467682,0.2303190529346466,,,,
5,0.13824974,0.2448528,0.3008864223957062,0.3160110116004944,,,,
6,0.24438871,0.21469842,0.1762647181749344,0.19431746006011963,0.1703307330608368,,,
7,0.11231696,0.18902251,0.1349988877773285,0.2143908590078354,0.17366640269756317,0.1756044328212738,,
8,0.2191118,0.10152631,0.2974947988986969,0.06915528327226639,0.059741899371147156,0.05656254664063454,0.17606905102729797,0.02033834159374237
