Function,x1_importance,x2_importance,x3_importance,x4_importance,x5_importance,x6_importance,x7_importance,x8_importance
1,0.67854214,0.32145783,,,,,,
2,0.5640779,0.43592206,,,,,,
3,0.33980155,0.37740782,0.2827906608581543,,,,,
4,0.23702791,0.32596496,0.21824128925800323,0.2187657356262207,,,,
5,0.33112928,0.28537634,0.21761223673820496,0.16588212549686432,,,,
6,0.19632754,0.30195323,0.21613743901252747,0.1532338708639145,0.132347971200943,,,
7,0.15287581,0.13265918,0.12237541377544403,0.17517821490764618,0.28495267033576965,0.13195866346359253,,
8,0.20573473,0.11427795,0.29217877984046936,0.09077708423137665,0.04960557445883751,0.04344410076737404,0.1804213970899582,0.02356029488146305
